TR.ID,Block,Res.id,Count,Sp,ML,Dil,T0,Sp.rep,Treat
240,E,C.j,406,SR,28.57142857,10000,166666.6667,AA,AN
241,E,C.j,704,SR,28.57142857,10000,166666.6667,SR,AN
242,E,C.j,268,SR,28.57142857,10000,166666.6667,PC,AN
243,F,C.k,338,SR,28.57142857,10000,166666.6667,OD,AN
244,F,C.k,418,SR,28.57142857,10000,166666.6667,VG,AN
245,F,C.k,278,SR,28.57142857,10000,166666.6667,AA,AN
246,F,C.k,316,SR,28.57142857,10000,166666.6667,SR,AN
247,F,C.k,428,SR,28.57142857,10000,166666.6667,PC,AN
248,F,C.l,476,SR,28.57142857,10000,166666.6667,OD,AN
249,F,C.l,374,SR,28.57142857,10000,166666.6667,VG,AN
250,F,C.l,342,SR,28.57142857,10000,166666.6667,AA,AN
251,F,C.l,604,SR,28.57142857,10000,166666.6667,SR,AN
252,F,C.l,364,SR,28.57142857,10000,166666.6667,PC,AN
133,A,C.a,320,AA,28.57142857,10000,166666.6667,OD,LA
134,A,C.a,192,AA,28.57142857,10000,166666.6667,VG,LA
135,A,C.a,186,AA,28.57142857,10000,166666.6667,AA,LA
136,A,C.a,192,AA,28.57142857,10000,166666.6667,SR,LA
137,A,C.a,114,AA,28.57142857,10000,166666.6667,PC,LA
138,A,C.b,70,AA,28.57142857,10000,166666.6667,OD,LA
139,A,C.b,190,AA,28.57142857,10000,166666.6667,VG,LA
140,A,C.b,122,AA,28.57142857,10000,166666.6667,AA,LA
141,A,C.b,16,AA,28.57142857,10000,166666.6667,SR,LA
142,A,C.b,84,AA,28.57142857,10000,166666.6667,PC,LA
143,B,C.c,50,AA,28.57142857,10000,166666.6667,OD,LA
144,B,C.c,68,AA,28.57142857,10000,166666.6667,VG,LA
145,B,C.c,98,AA,28.57142857,10000,166666.6667,AA,LA
146,B,C.c,140,AA,28.57142857,10000,166666.6667,SR,LA
147,B,C.c,128,AA,28.57142857,10000,166666.6667,PC,LA
148,B,C.d,124,AA,28.57142857,10000,166666.6667,OD,LA
149,B,C.d,116,AA,28.57142857,10000,166666.6667,VG,LA
150,B,C.d,116,AA,28.57142857,10000,166666.6667,AA,LA
151,B,C.d,82,AA,28.57142857,10000,166666.6667,SR,LA
152,B,C.d,164,AA,28.57142857,10000,166666.6667,PC,LA
153,C,C.e,62,AA,28.57142857,10000,166666.6667,OD,LA
154,C,C.e,40,AA,28.57142857,10000,166666.6667,VG,LA
155,C,C.e,26,AA,28.57142857,10000,166666.6667,AA,LA
156,C,C.e,34,AA,28.57142857,10000,166666.6667,SR,LA
157,C,C.e,78,AA,28.57142857,10000,166666.6667,PC,LA
158,C,C.f,26,AA,28.57142857,10000,166666.6667,OD,LA
159,C,C.f,32,AA,28.57142857,10000,166666.6667,VG,LA
160,C,C.f,70,AA,28.57142857,10000,166666.6667,AA,LA
161,C,C.f,80,AA,28.57142857,10000,166666.6667,SR,LA
162,C,C.f,28,AA,28.57142857,10000,166666.6667,PC,LA
163,D,C.g,112,AA,28.57142857,10000,166666.6667,OD,LA
164,D,C.g,110,AA,28.57142857,10000,166666.6667,VG,LA
165,D,C.g,NA,AA,28.57142857,10000,166666.6667,AA,LA
166,D,C.g,122,AA,28.57142857,10000,166666.6667,SR,LA
167,D,C.g,118,AA,28.57142857,10000,166666.6667,PC,LA
168,D,C.h,94,AA,28.57142857,10000,166666.6667,OD,LA
169,D,C.h,NA,AA,28.57142857,10000,166666.6667,VG,LA
170,D,C.h,64,AA,28.57142857,10000,166666.6667,AA,LA
171,D,C.h,64,AA,28.57142857,10000,166666.6667,SR,LA
172,D,C.h,72,AA,28.57142857,10000,166666.6667,PC,LA
173,E,C.i,86,AA,28.57142857,10000,166666.6667,OD,LA
174,E,C.i,162,AA,28.57142857,10000,166666.6667,VG,LA
175,E,C.i,80,AA,28.57142857,10000,166666.6667,AA,LA
176,E,C.i,134,AA,28.57142857,10000,166666.6667,SR,LA
177,E,C.i,86,AA,28.57142857,10000,166666.6667,PC,LA
178,E,C.j,118,AA,28.57142857,10000,166666.6667,OD,LA
179,E,C.j,104,AA,28.57142857,10000,166666.6667,VG,LA
180,E,C.j,118,AA,28.57142857,10000,166666.6667,AA,LA
181,E,C.j,12,AA,28.57142857,10000,166666.6667,SR,LA
182,E,C.j,38,AA,28.57142857,10000,166666.6667,PC,LA
183,F,C.k,28,AA,28.57142857,10000,166666.6667,OD,LA
184,F,C.k,36,AA,28.57142857,10000,166666.6667,VG,LA
185,F,C.k,18,AA,28.57142857,10000,166666.6667,AA,LA
186,F,C.k,42,AA,28.57142857,10000,166666.6667,SR,LA
187,F,C.k,72,AA,28.57142857,10000,166666.6667,PC,LA
188,F,C.l,106,AA,28.57142857,10000,166666.6667,OD,LA
189,F,C.l,84,AA,28.57142857,10000,166666.6667,VG,LA
190,F,C.l,88,AA,28.57142857,10000,166666.6667,AA,LA
191,F,C.l,110,AA,28.57142857,10000,166666.6667,SR,LA
192,F,C.l,110,AA,28.57142857,10000,166666.6667,PC,LA
193,A,C.a,92,AA,28.57142857,10000,166666.6667,OD,AN
194,A,C.a,76,AA,28.57142857,10000,166666.6667,VG,AN
195,A,C.a,66,AA,28.57142857,10000,166666.6667,AA,AN
196,A,C.a,58,AA,28.57142857,10000,166666.6667,SR,AN
197,A,C.a,102,AA,28.57142857,10000,166666.6667,PC,AN
198,A,C.b,10,AA,28.57142857,10000,166666.6667,OD,AN
199,A,C.b,12,AA,28.57142857,10000,166666.6667,VG,AN
200,A,C.b,72,AA,28.57142857,10000,166666.6667,AA,AN
201,A,C.b,8,AA,28.57142857,10000,166666.6667,SR,AN
202,A,C.b,40,AA,28.57142857,10000,166666.6667,PC,AN
203,B,C.c,38,AA,28.57142857,10000,166666.6667,OD,AN
204,B,C.c,26,AA,28.57142857,10000,166666.6667,VG,AN
205,B,C.c,66,AA,28.57142857,10000,166666.6667,AA,AN
206,B,C.c,40,AA,28.57142857,10000,166666.6667,SR,AN
207,B,C.c,120,AA,28.57142857,10000,166666.6667,PC,AN
208,B,C.d,46,AA,28.57142857,10000,166666.6667,OD,AN
209,B,C.d,90,AA,28.57142857,10000,166666.6667,VG,AN
210,B,C.d,78,AA,28.57142857,10000,166666.6667,AA,AN
211,B,C.d,64,AA,28.57142857,10000,166666.6667,SR,AN
212,B,C.d,202,AA,28.57142857,10000,166666.6667,PC,AN
213,C,C.e,54,AA,28.57142857,10000,166666.6667,OD,AN
214,C,C.e,46,AA,28.57142857,10000,166666.6667,VG,AN
215,C,C.e,46,AA,28.57142857,10000,166666.6667,AA,AN
216,C,C.e,32,AA,28.57142857,10000,166666.6667,SR,AN
217,C,C.e,94,AA,28.57142857,10000,166666.6667,PC,AN
218,C,C.f,78,AA,28.57142857,10000,166666.6667,OD,AN
219,C,C.f,72,AA,28.57142857,10000,166666.6667,VG,AN
220,C,C.f,24,AA,28.57142857,10000,166666.6667,AA,AN
221,C,C.f,16,AA,28.57142857,10000,166666.6667,SR,AN
222,C,C.f,20,AA,28.57142857,10000,166666.6667,PC,AN
223,D,C.g,18,AA,28.57142857,10000,166666.6667,OD,AN
224,D,C.g,62,AA,28.57142857,10000,166666.6667,VG,AN
225,D,C.g,18,AA,28.57142857,10000,166666.6667,AA,AN
226,D,C.g,8,AA,28.57142857,10000,166666.6667,SR,AN
227,D,C.g,8,AA,28.57142857,10000,166666.6667,PC,AN
228,D,C.h,18,AA,28.57142857,10000,166666.6667,OD,AN
229,D,C.h,18,AA,28.57142857,10000,166666.6667,VG,AN
230,D,C.h,22,AA,28.57142857,10000,166666.6667,AA,AN
231,D,C.h,10,AA,28.57142857,10000,166666.6667,SR,AN
232,D,C.h,20,AA,28.57142857,10000,166666.6667,PC,AN
233,E,C.i,18,AA,28.57142857,10000,166666.6667,OD,AN
234,E,C.i,16,AA,28.57142857,10000,166666.6667,VG,AN
235,E,C.i,52,AA,28.57142857,10000,166666.6667,AA,AN
236,E,C.i,28,AA,28.57142857,10000,166666.6667,SR,AN
237,E,C.i,44,AA,28.57142857,10000,166666.6667,PC,AN
