Comm,Sp,Time,Count,Dilution,Dil_fact
Comm23,Vg,T2,33,100000,16.66666667
Comm23,Od,T2,35,100000,16.66666667
Comm24,Pc,T2,22,100000,16.66666667
Comm24,Sr,T2,44,100000,16.66666667
Comm24,Aa,T2,51,100000,16.66666667
Comm24,Vg,T2,64,100000,16.66666667
Comm24,Od,T2,26,100000,16.66666667
Comm1,Pc,T3,15,100000,16.66666667
Comm1,Sr,T3,46,100000,16.66666667
Comm1,Aa,T3,164,100000,16.66666667
Comm1,Vg,T3,103,100000,16.66666667
Comm1,Od,T3,125,100000,16.66666667
Comm2,Pc,T3,4,100000,16.66666667
Comm2,Sr,T3,10,100000,16.66666667
Comm2,Aa,T3,98,100000,16.66666667
Comm2,Vg,T3,20,100000,16.66666667
Comm2,Od,T3,143,100000,16.66666667
Comm3,Pc,T3,34,100000,16.66666667
Comm3,Sr,T3,9,100000,16.66666667
Comm3,Aa,T3,133,100000,16.66666667
Comm3,Vg,T3,50,100000,16.66666667
Comm3,Od,T3,242,100000,16.66666667
Comm4,Pc,T3,5,100000,16.66666667
Comm4,Sr,T3,72,100000,16.66666667
Comm4,Aa,T3,275,100000,16.66666667
Comm4,Vg,T3,25,100000,16.66666667
Comm4,Od,T3,127,100000,16.66666667
Comm5,Pc,T3,5,100000,16.66666667
Comm5,Sr,T3,30,100000,16.66666667
Comm5,Aa,T3,165,100000,16.66666667
Comm5,Vg,T3,23,100000,16.66666667
Comm5,Od,T3,72,100000,16.66666667
Comm6,Pc,T3,3,100000,16.66666667
Comm6,Sr,T3,46,100000,16.66666667
Comm6,Aa,T3,179,100000,16.66666667
Comm6,Vg,T3,22,100000,16.66666667
Comm6,Od,T3,107,100000,16.66666667
Comm7,Pc,T3,1,100000,16.66666667
Comm7,Sr,T3,21,100000,16.66666667
Comm7,Aa,T3,175,100000,16.66666667
Comm7,Vg,T3,2,100000,16.66666667
Comm7,Od,T3,67,100000,16.66666667
Comm8,Pc,T3,1,100000,16.66666667
Comm8,Sr,T3,42,100000,16.66666667
Comm8,Aa,T3,240,100000,16.66666667
Comm8,Vg,T3,4,100000,16.66666667
Comm8,Od,T3,87,100000,16.66666667
Comm9,Pc,T3,6,100000,16.66666667
Comm9,Sr,T3,57,100000,16.66666667
Comm9,Aa,T3,83,100000,16.66666667
Comm9,Vg,T3,82,100000,16.66666667
Comm9,Od,T3,92,100000,16.66666667
Comm10,Pc,T3,2,100000,16.66666667
Comm10,Sr,T3,34,100000,16.66666667
Comm10,Aa,T3,130,100000,16.66666667
Comm10,Vg,T3,19,100000,16.66666667
Comm10,Od,T3,104,100000,16.66666667
Comm11,Pc,T3,3,100000,16.66666667
Comm11,Sr,T3,88,100000,16.66666667
