Treatment,Block,Res.com.ID,Inv.sp,coev,Res.count,Inv.count,T0.res,T0.inv,Dilution,ML,Froz.fact
302,B5,J,PC,A,992,32,666666.6667,6666.666667,10000,28.57142857,2
303,B6,K,OD,A,1012,298,666666.6667,6666.666667,10000,28.57142857,2
304,B6,K,VG,A,724,154,666666.6667,6666.666667,10000,28.57142857,2
305,B6,K,AA,A,1124,2,666666.6667,6666.666667,10000,28.57142857,2
306,B6,K,SR,A,628,18,666666.6667,6666.666667,10000,28.57142857,2
307,B6,K,PC,A,800,9,666666.6667,6666.666667,10000,28.57142857,2
308,B6,L,OD,A,796,66,666666.6667,6666.666667,10000,28.57142857,2
309,B6,L,VG,A,835,28,666666.6667,6666.666667,10000,28.57142857,2
310,B6,L,AA,A,662,38,666666.6667,6666.666667,10000,28.57142857,2
311,B6,L,SR,A,794,108,666666.6667,6666.666667,10000,28.57142857,2
312,B6,L,PC,A,778,18,666666.6667,6666.666667,10000,28.57142857,2
