SP,OD600
SR,0.937
SR,0.917
SR,0.941
SR,0.917
SR,0.931
SR,0.05
SR,0.047
SR,0.94
SR,0.939
SR,0.923
SR,0.941
SR,0.92
SR,0.931
SR,0.049
SR,0.047
SR,0.94
SR,0.936
SR,0.926
SR,0.941
SR,0.923
SR,0.93
SR,0.049
SR,0.047
SR,0.941
SR,0.937
SR,0.926
SR,0.943
SR,0.923
SR,0.932
SR,0.049
SR,0.047
SR,0.941
SR,0.937
SR,0.928
SR,0.945
SR,0.924
SR,0.935
SR,0.049
SR,0.047
SR,0.938
SR,0.936
SR,0.928
SR,0.946
SR,0.925
SR,0.937
SR,0.049
SR,0.047
SR,0.938
SR,0.939
SR,0.928
SR,0.947
SR,0.926
SR,0.94
SR,0.049
SR,0.047
SR,0.935
SR,0.939
SR,0.926
SR,0.946
SR,0.926
SR,0.943
SR,0.049
SR,0.047
SR,0.934
SR,0.943
SR,0.93
SR,0.947
SR,0.929
SR,0.945
SR,0.049
AA,0.047
AA,0.05
AA,0.05
AA,0.05
AA,0.053
AA,0.053
AA,0.052
AA,0.048
AA,0.047
AA,0.05
AA,0.05
AA,0.05
AA,0.053
AA,0.054
AA,0.052
AA,0.048
AA,0.047
AA,0.05
AA,0.05
AA,0.05
AA,0.053
AA,0.054
AA,0.052
AA,0.048
AA,0.047
AA,0.05
AA,0.05
AA,0.05
AA,0.053
AA,0.054
AA,0.052
AA,0.047
AA,0.048
AA,0.05
AA,0.05
AA,0.05
AA,0.053
AA,0.054
AA,0.052
AA,0.048
AA,0.047
AA,0.051
AA,0.051
AA,0.051
AA,0.054
AA,0.054
AA,0.053
AA,0.048
AA,0.047
AA,0.05
AA,0.051
AA,0.05
AA,0.053
AA,0.054
AA,0.053
AA,0.048
AA,0.047
AA,0.051
AA,0.051
AA,0.051
AA,0.054
AA,0.055
AA,0.053
AA,0.048
AA,0.047
AA,0.051
AA,0.051
AA,0.051
AA,0.054
AA,0.054
AA,0.053
AA,0.048
AA,0.047
AA,0.051
AA,0.051
AA,0.051
AA,0.054
AA,0.055
AA,0.053
AA,0.048
AA,0.047
AA,0.051
AA,0.051
AA,0.051
AA,0.054
AA,0.055
AA,0.053
AA,0.048
AA,0.047
AA,0.051
AA,0.051
AA,0.051
AA,0.055
AA,0.055
AA,0.053
AA,0.048
AA,0.047
AA,0.051
AA,0.051
AA,0.052
AA,0.055
AA,0.055
AA,0.053
AA,0.048
AA,0.047
AA,0.052
AA,0.052
AA,0.052
AA,0.055
AA,0.055
AA,0.054
AA,0.048
AA,0.047
AA,0.052
AA,0.052
AA,0.052
AA,0.056
AA,0.056
AA,0.054
AA,0.048
AA,0.047
AA,0.052
AA,0.052
AA,0.052
AA,0.056
AA,0.056
AA,0.054
AA,0.047
AA,0.047
AA,0.052
AA,0.052
AA,0.052
AA,0.057
AA,0.056
AA,0.054
AA,0.048
AA,0.047
AA,0.053
AA,0.053
AA,0.053
AA,0.057
AA,0.057
AA,0.055
AA,0.048
AA,0.047
AA,0.053
AA,0.053
AA,0.053
AA,0.057
AA,0.057
AA,0.055
AA,0.048
AA,0.047
AA,0.053
AA,0.053
AA,0.054
AA,0.058
AA,0.057
AA,0.055
AA,0.048
AA,0.047
AA,0.054
AA,0.053
AA,0.054
AA,0.058
AA,0.058
AA,0.055
AA,0.048
AA,0.048
AA,0.054
AA,0.054
AA,0.054
AA,0.059
AA,0.058
AA,0.056
AA,0.048
AA,0.047
AA,0.054
AA,0.055
AA,0.055
AA,0.06
AA,0.059
AA,0.056
AA,0.048
AA,0.047
AA,0.055
AA,0.055
AA,0.055
AA,0.06
AA,0.059
AA,0.057
AA,0.048
AA,0.047
AA,0.056
AA,0.055
AA,0.056
AA,0.061
AA,0.06
AA,0.058
AA,0.048
AA,0.047
AA,0.056
AA,0.056
AA,0.056
AA,0.062
AA,0.061
AA,0.058
AA,0.048
AA,0.047
AA,0.057
AA,0.057
AA,0.057
AA,0.063
AA,0.061
AA,0.059
AA,0.048
AA,0.047
AA,0.058
AA,0.058
AA,0.058
AA,0.064
AA,0.062
AA,0.06
AA,0.048
AA,0.047
AA,0.059
AA,0.058
AA,0.059
AA,0.065
AA,0.063
AA,0.061
AA,0.048
AA,0.047
AA,0.059
AA,0.059
AA,0.06
AA,0.067
AA,0.063
AA,0.061
AA,0.048
AA,0.047
AA,0.061
AA,0.06
AA,0.061
AA,0.068
AA,0.065
AA,0.062
AA,0.048
AA,0.047
AA,0.062
AA,0.062
AA,0.061
AA,0.07
AA,0.067
AA,0.064
AA,0.048
AA,0.047
AA,0.063
AA,0.063
AA,0.063
AA,0.071
AA,0.067
AA,0.064
AA,0.048
AA,0.047
AA,0.064
AA,0.065
AA,0.065
AA,0.073
AA,0.069
AA,0.066
AA,0.048
AA,0.047
AA,0.066
AA,0.066
AA,0.066
AA,0.075
AA,0.071
AA,0.068
AA,0.048
AA,0.048
AA,0.068
AA,0.068
AA,0.068
AA,0.077
AA,0.073
AA,0.07
AA,0.048
AA,0.047
AA,0.07
AA,0.069
AA,0.07
AA,0.079
AA,0.075
AA,0.072
AA,0.048
AA,0.047
AA,0.071
AA,0.071
AA,0.072
AA,0.081
AA,0.077
AA,0.073
AA,0.047
AA,0.047
AA,0.074
AA,0.074
AA,0.074
AA,0.084
AA,0.079
AA,0.076
AA,0.048
AA,0.047
AA,0.076
AA,0.077
AA,0.077
AA,0.087
AA,0.083
AA,0.078
AA,0.048
AA,0.047
AA,0.079
AA,0.08
AA,0.08
AA,0.09
AA,0.085
AA,0.081
AA,0.048
AA,0.047
AA,0.081
AA,0.082
AA,0.083
AA,0.093
AA,0.088
AA,0.084
AA,0.048
AA,0.047
AA,0.084
AA,0.086
AA,0.086
AA,0.097
AA,0.091
AA,0.087
AA,0.048
AA,0.047
AA,0.088
AA,0.089
AA,0.089
AA,0.101
AA,0.095
AA,0.09
AA,0.047
AA,0.047
AA,0.092
AA,0.093
AA,0.093
AA,0.106
AA,0.099
AA,0.093
AA,0.048
AA,0.047
AA,0.095
AA,0.096
AA,0.097
AA,0.111
AA,0.102
AA,0.097
AA,0.048
AA,0.047
AA,0.099
AA,0.1
AA,0.102
AA,0.117
AA,0.107
AA,0.101
AA,0.048
AA,0.047
AA,0.103
AA,0.105
AA,0.106
AA,0.124
AA,0.112
AA,0.106
AA,0.048
AA,0.047
AA,0.109
AA,0.11
AA,0.112
AA,0.13
AA,0.118
AA,0.111
AA,0.048
AA,0.047
AA,0.114
AA,0.117
AA,0.118
AA,0.138
AA,0.125
AA,0.117
AA,0.048
AA,0.047
AA,0.121
AA,0.124
AA,0.126
AA,0.144
AA,0.133
AA,0.124
AA,0.048
AA,0.047
AA,0.129
AA,0.132
AA,0.134
AA,0.153
AA,0.141
AA,0.132
AA,0.048
AA,0.047
AA,0.137
AA,0.14
AA,0.142
AA,0.161
AA,0.149
AA,0.139
AA,0.048
